id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,profit_margin,domestic_profit_margin
24,2002-02-15,Last Orders,12000000,2326407,2326407,-9673593,-0.04158168798494846,-4.158168798494846
45,2001-08-10,Osmosis Jones,70000000,13596911,13596911,-56403089,-0.04148228152703213,-4.148228152703213
36,2016-11-25,Miss Sloane,18000000,3500605,7719630,-10280370,-0.013317179709390217,-4.141968316905221
39,2016-03-11,The Brothers Grimsby,35000000,6864016,28720470,-6279530,-0.0021864300967219547,-4.0990557131568455
42,2014-04-04,Under the Skin,13300000,2614251,7229933,-6070067,-0.008395744469554559,-4.087499249306972
45,2008-07-11,Meet Dave,60000000,11803254,50648806,-9351194,-0.001846281233164707,-4.083343965994462
77,2007-11-21,Iâm Not There,20000000,4017609,12397613,-7602387,-0.0061321376945707206,-3.978085224321232
28,2015-10-23,Rock the Kasbah,15000000,3020665,3386153,-11613847,-0.03429805741205433,-3.9657939559666495
71,2018-09-14,Mandy,6000000,1214525,1427656,-4572344,-0.03202693085729335,-3.94020296000494
94,2005-10-14,Domino,50000000,10169202,23574057,-26425943,-0.011209756131496584,-3.9168066481519395
46,2009-09-25,I Hope They Serve Beer in Hell,7000000,1429299,1429453,-5570547,-0.03896978074830022,-3.897505700346813
44,2002-09-20,Ballistic: Ecks vs. Sever,70000000,14294842,14294842,-55705158,-0.038968711931198684,-3.896871193119868
1,2005-12-07,The World's Fastest Indian,25000000,5128124,18991288,-6008712,-0.003163930745508151,-3.8750771237200974
69,2007-10-19,Things We Lost in the Fire,16000000,3287315,8120148,-7879852,-0.009704074359235816,-3.86719404742168
35,2016-03-18,Midnight Special,18000000,3712282,7680250,-10319750,-0.013436737085381336,-3.8487695708461804
80,2008-10-10,City of Ember,38000000,7873007,17831558,-20168442,-0.011310532708358967,-3.8266183429025276
43,2014-02-14,Winterâs Tale,60000000,12600231,29575033,-30424967,-0.010287382265980905,-3.76181746191796
16,2014-08-22,Sin City: A Dame to Kill For,65000000,13757804,40650842,-24349158,-0.005989828697767196,-3.7245912210989487
91,2011-02-25,Drive Angry,50000000,10721033,41042583,-8957417,-0.0021824691199381872,-3.663729698434843
42,2006-09-22,Flyboys,60000000,13090630,14816379,-45183621,-0.03049572436018274,-3.583431049536959
41,2004-06-16,Around the World in 80 Days,110000000,24004159,72004159,-37995841,-0.005276895324893663,-3.5825392174747717
37,2003-09-05,The Order,35000000,7659747,11559747,-23440253,-0.02027747925625016,-3.569341520026706
12,2013-12-25,47 Ronin,175000000,38362475,151716815,-23283185,-0.0015346476262370788,-3.5617494700224634
47,2005-11-23,The Libertine,22000000,4835065,9448623,-12551377,-0.013283816065049903,-3.550093949098926
100,2001-03-23,Say It Isn't So,25000000,5516708,5516708,-19483292,-0.03531688100947159,-3.531688100947159
32,2005-03-04,The Jacket,28500000,6301131,15452978,-13047022,-0.008443047029511076,-3.5229975380610243
19,2001-09-07,Soul Survivors,14000000,3100650,4288246,-9711754,-0.02264738077059945,-3.515182300485382
