id,release_date,movie,production_budget,domestic_gross,profit,profitable,unprofitable,domestic_profit_margin
29,2016-12-21,Sing,75000000,270329045,195329045,True,False,72.25603338331624
68,2016-01-22,The Boy,10000000,35819556,25819556,True,False,72.08228935054359
36,2019-01-16,Dragon Ball Super: Broly,8500000,30376755,21876755,True,False,72.01807763864178
81,2019-05-17,John Wick: Chapter 3 â Parabellum,40000000,141744320,101744320,True,False,71.78017433079505
4,2017-04-07,Gifted,7000000,24801212,17801212,True,False,71.77557290345327
30,2017-06-30,Despicable Me 3,75000000,264624300,189624300,True,False,71.65793164119847
51,2014-10-17,Dear White People,1250000,4404154,3154154,True,False,71.617704558015
95,2018-03-23,"Paul, Apostle of Christ",5000000,17547999,12547999,True,False,71.50672278930492
81,2012-08-31,The Possession,14000000,49130588,35130588,True,False,71.5045136443309
42,2018-02-16,Black Panther,200000000,700059566,500059566,True,False,71.43100248700837
39,2017-07-28,An Inconvenient Sequel,1000000,3496795,2496795,True,False,71.40238418323065
79,2015-11-04,Brooklyn,11000000,38322743,27322743,True,False,71.29641789994
96,2014-10-10,Addicted,5000000,17390770,12390770,True,False,71.24911662910843
70,2017-05-19,"Everything, Everything",10000000,34121140,24121140,True,False,70.6926556381176
61,2014-10-10,St. Vincent,13000000,44137712,31137712,True,False,70.54672883814186
77,2016-03-25,My Big Fat Greek Wedding 2,18000000,59689605,41689605,True,False,69.84399544945892
73,2015-03-06,The Second Best Exotic Marigold Hotel,10000000,33078266,23078266,True,False,69.76866925249347
44,2012-03-16,21 Jump Street,42000000,138447667,96447667,True,False,69.66362748460038
21,2018-08-10,BlacKkKlansman,15000000,49275340,34275340,True,False,69.55880974134323
14,2012-06-29,Tyler Perry's Madea's Witness Protection,20000000,65653242,45653242,True,False,69.53691944108411
19,2017-12-01,The Shape of Water,19500000,63859435,44359435,True,False,69.46418332702129
38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,294668047,True,False,69.38785460352754
78,2014-01-31,That Awkward Moment,8000000,26068955,18068955,True,False,69.31215693149188
75,2017-04-28,How to Be a Latin Lover,10000000,32149404,22149404,True,False,68.89522430960152
77,2013-04-05,Evil Dead,17000000,54239856,37239856,True,False,68.65773389958852
59,2017-06-28,Baby Driver,34000000,107825862,73825862,True,False,68.46767614990178
91,2013-06-12,This is the End,32000000,101470202,69470202,True,False,68.46364807670334
63,2012-03-02,Doctor Seuss' The Lorax,67500000,214030500,146530500,True,False,68.4624387645686
78,2015-09-11,The Perfect Guy,18000000,57027435,39027435,True,False,68.43624476534846
83,2014-07-25,Lucy,40000000,126573960,86573960,True,False,68.39792323792351
35,2017-03-17,Beauty and the Beast,160000000,504014165,344014165,True,False,68.25486045615405
36,2015-07-17,Trainwreck,35000000,110212700,75212700,True,False,68.243224238223
65,2013-11-22,Philomena,12000000,37709979,25709979,True,False,68.1781843474376
84,2013-12-25,Lone Survivor,40000000,125095601,85095601,True,False,68.02445515250372
41,2014-06-06,Obvious Child,1000000,3122616,2122616,True,False,67.975569202233
78,2019-02-13,Happy Death Day 2U,9000000,28051045,19051045,True,False,67.91563380259096
54,2012-10-05,Taken 2,45000000,139854287,94854287,True,False,67.8236534858599
62,2016-01-22,Dirty Grandpa,11500000,35593113,24093113,True,False,67.69037875388983
79,2012-12-25,Parental Guidance,25000000,77267296,52267296,True,False,67.6447846706063
22,2013-04-12,42,31000000,95020213,64020213,True,False,67.37536254523025
6,2015-12-18,Star Wars Ep. VII: The Force Awakens,306000000,936662225,630662225,True,False,67.3308059370068
27,2012-10-12,Argo,44500000,136025503,91525503,True,False,67.28554644638955
80,2018-08-10,Slender Man,10000000,30564825,20564825,True,False,67.28265252622909
