id,release_date,movie,production_budget,domestic_gross,worldwide_gross,profit,profit_margin,domestic_profit_margin,cost_revenue_ratio_in_%
26,2009-11-20,The Blind Side,35000000,255959475,305705794,270705794,0.8855108385678814,0.8632596038884671,731.3127857142857
67,2010-09-17,Easy A,8000000,58401464,76200721,68200721,0.8950141167299454,0.8630171325842105,730.0183
66,2019-05-31,MA,5000000,36049540,44300625,39300625,0.8871347751865803,0.8613019750043968,720.9908
31,2015-09-25,The Green Inferno,1000000,7192291,12931420,11931420,0.9226689721623765,0.8609622441583634,719.2291
75,2002-10-11,Bowling for Columbine,3000000,21576018,58240487,55240487,0.9484894417177521,0.860956734463236,719.2006
94,2016-02-19,The Witch,3500000,25138705,40454520,36954520,0.9134830916298103,0.8607724622250827,718.2487142857143
95,2018-02-02,Winchester,3500000,25091816,44378040,40878040,0.9211321635655834,0.8605122881500487,716.9090285714286
65,2006-11-03,Borat,18000000,128505958,261443242,243443242,0.9311514045560986,0.8599286735016597,713.9219888888888
32,2017-02-03,I Am Not Your Negro,1000000,7123919,9617402,8617402,0.8960218154549431,0.8596278256392303,712.3919
18,2012-06-27,Beasts of the Southern Wild,1800000,12795746,23265132,21465132,0.9226309999014835,0.8593282486226281,710.8747777777777
47,2001-01-12,Save the Last Dance,13000000,91038276,122244329,109244329,0.8936555985349635,0.857202919791671,700.2944307692308
57,2007-08-17,Superbad,17500000,121463226,169955142,152455142,0.897031653211175,0.8559234710265311,694.0755771428571
69,2003-12-24,Monster,5000000,34469210,64240813,59240813,0.9221678592392658,0.8549430056563524,689.3842000000001
93,2013-07-19,The Conjuring,20000000,137400141,318000141,298000141,0.9371069461255367,0.8544397418049229,687.000705
43,2018-05-18,Book Club,10000000,68566296,91113683,81113683,0.8902470005520466,0.854155750224571,685.66296
2,2017-08-11,Annabelle: Creation,15000000,102092201,305384865,290384865,0.9508816522390525,0.853073987502728,680.6146733333334
3,2013-10-25,Jackass Presents: Bad Grandpa,15000000,102003019,160903019,145903019,0.9067761432120798,0.8529455289945879,680.0201266666667
63,2011-08-10,The Help,25000000,169705587,213120004,188120004,0.8826951973968619,0.8526860521097634,678.822348
64,2016-12-25,Hidden Figures,25000000,169607287,231771716,206771716,0.8921352422484546,0.8526006727529343,678.429148
45,2018-01-05,Insidious: The Last Key,10000000,67745330,167885588,157885588,0.9404356257191056,0.8523883491304862,677.4533
95,2018-07-13,Eighth Grade,2000000,13539710,14341016,12341016,0.8605398669104057,0.8522863488213559,676.9855
