title,year,Domestic Gross (in millions),Foreign Gross (in millions),Total Gross (in millions)
Hidden Figures,2016,169.6,66.3,235.9
Spy,2015,110.8,124.8,235.6
American Reunion,2012,57.0,178.0,235.0
Alvin and the Chipmunks: The Road Chip,2015,85.9,148.9,234.8
The Imitation Game,2014,91.1,142.4,233.5
The Girl with the Dragon Tattoo (2011),2011,102.5,130.1,232.6
Argo,2012,136.0,96.3,232.3
The Heat,2013,159.6,70.3,229.9
Ghostbusters (2016),2016,128.4,100.8,229.2
Goodbye Mr. Loser,2015,1.3,226.8,228.1
The Green Hornet,2011,98.8,129.0,227.8
Paddington 2,2018,40.9,186.4,227.3
Baby Driver,2017,107.8,119.1,226.9
Immortals,2011,83.5,143.4,226.9
Percy Jackson & The Olympians: The Lightning Thief,2010,88.8,137.7,226.5
Hansel and Gretel: Witch Hunters,2013,55.7,170.6,226.3
The Fate of the Furious,2017,226.0,0.00101,226.00101
Valerian and the City of a Thousand Planets,2017,41.2,184.7,225.9
The Social Network,2010,97.0,128.0,225.0
Non-Stop,2014,92.2,130.6,222.8
Geostorm,2017,33.7,187.9,221.6
Inferno,2016,34.3,185.7,220.0
Green Lantern,2011,116.6,103.3,219.9
Captain Phillips,2013,107.1,111.7,218.8
Jack Reacher,2012,80.1,138.3,218.4
The Emoji Movie,2017,86.1,131.699999,217.799999
Dracula Untold,2014,56.3,160.8,217.1
Central Intelligence,2016,127.4,89.5,216.9
Ted 2,2015,81.5,135.2,216.7
The Help,2011,169.7,46.9,216.6
Valentine's Day,2010,110.5,106.0,216.5
Bad Teacher,2011,100.3,115.9,216.2
The Sorcerer's Apprentice,2010,63.2,152.1,215.3
Just Go With It,2011,103.0,111.9,214.9
The Expendables 3,2014,39.3,175.3,214.6
Smallfoot,2018,83.2,130.9,214.1
Creed II,2018,115.7,98.3,214.0
Into the Woods,2014,128.0,85.1,213.1
Bridget Jones's Baby,2016,24.3,187.7,212.0
Battle: Los Angeles,2011,83.6,128.3,211.9
Fury (2014),2014,85.8,126.0,211.8
Due Date,2010,100.5,111.2,211.7
Horrible Bosses,2011,117.5,92.1,209.6
Tomorrowland,2015,93.4,115.7,209.1
Me Before You,2016,56.2,152.1,208.3
Safe House,2012,126.4,81.7,208.1
Paranormal Activity 3,2011,104.0,103.0,207.0
London Has Fallen,2016,62.5,143.2,205.7
Journey to the West,2014,0.0181,205.6,205.6181
White House Down,2013,73.1,132.3,205.4
A Dog's Purpose,2017,64.5,140.5,205.0
Eat Pray Love,2010,80.6,124.0,204.6
Everest (2015),2015,43.5,159.9,203.4
Need for Speed,2014,43.6,159.7,203.3
Arrival,2016,100.5,102.8,203.3
Straight Outta Compton,2015,161.2,40.4,201.6
Yogi Bear,2010,100.2,101.3,201.5
21 Jump Street,2012,138.4,63.1,201.5
Percy Jackson: Sea of Monsters,2013,68.6,131.3,199.9
Red,2010,90.4,108.6,199.0
Total Recall (2012),2012,58.9,139.6,198.5
Lost in Thailand,2013,0.0574,197.7,197.7574
Jack the Giant Slayer,2013,65.2,132.5,197.7
Disney's Christopher Robin,2018,99.2,98.5,197.7
Smurfs: The Lost Village,2017,45.0,152.2,197.2
The Other Woman (2014),2014,83.9,112.8,196.7
The Vow,2012,125.0,71.1,196.1
The Shape of Water,2017,63.9,131.4,195.3
The Intern,2015,75.8,118.8,194.6
Gnomeo and Juliet,2011,100.0,94.0,194.0
The Monkey King 2 in 3D,2016,0.71,193.0,193.71
The Equalizer,2014,101.5,90.8,192.3
The Equalizer 2,2018,102.1,88.3,190.4
Breakup Buddies,2014,0.778,188.2,188.978
The Secret Life of Walter Mitty,2013,58.2,129.9,188.1
12 Years a Slave,2013,56.7,131.1,187.8
Mr. Popper's Penguins,2011,68.2,119.1,187.3
